"","genes","A","phase","offset","peak","R2","pvalue","qvalue"
"6035","GPAT3",0.232621265261215,15.9126033520667,2.4486650307459,14.0873966479333,0.141156809896659,0.00102904857109254,0.260330578512392
"12684","SAMD9",0.236251680915609,10.9781822652509,3.35581493367069,-4.97818226525094,0.140826194086468,0.00104864949625627,0.26055194805196
"4329","ATF1",0.175122494786397,12.3785962436983,3.876590516545,17.6214037563017,0.139850802587236,0.00108785134658351,0.265550239234439
"1399","OVGP1",0.253410776785231,23.4933953497166,1.80065181480413,6.5066046502834,0.139484572541372,0.00110745227174724,0.265673981191227
"12649","PCDHA5",0.227002238602369,0.390271953288433,2.42580153653778,5.60972804671157,0.13916981058142,0.00112705319691087,0.265793528505386
"400","CENPQ",0.288376923905139,11.6659674125027,3.1623577143708,-5.66596741250275,0.138732551930995,0.00116625504723822,0.270454545454543
"12860","LOC283922",0.264134897259842,22.4810744282752,2.52843900267226,7.51892557172476,0.137338832439683,0.00126425967305654,0.283057851239672
"5950","CENPO",0.140915693002913,23.6367330633747,2.50553329095305,6.36326693662531,0.13727984898384,0.00127079331477775,0.283057851239672
"12520","BMP2KL",0.443286696231,23.0450515861772,1.25012416391368,6.95494841382283,0.136841549656535,0.00129692788166269,0.283057851239672
"6220","TLE3",0.187555645530883,22.9603193449489,4.37218783659676,7.03968065505107,0.136739220521477,0.00131652880682631,0.283057851239672
"11195","TMEM50A",0.12865747250072,11.7691013789157,6.08354040712263,-5.7691013789157,0.136640858019566,0.00132959609026884,0.283057851239672
"9853","PDE7B",0.176831825349565,15.221311030515,5.80774228091245,14.778688969485,0.13620866078381,0.00134266337371125,0.283057851239672
"10723","SNX18",0.131891153206104,10.2432528092006,5.0826599002543,-4.24325280920065,0.135993485263466,0.00136879794059608,0.284260515603789
"11520","CCDC84",0.157697974470622,23.964088301875,4.23626829910313,6.03591169812505,0.135427056159185,0.00141453343264464,0.289438502673787
"11222","DNAH2",0.287897069644115,0.0146496404281226,1.7077279927349,5.98535035957188,0.134403827419751,0.00144720164125078,0.290012804097314
